movie_id,genres
130,Action
130,Adventure
130,Fantasy
131,Comedy
131,Fantasy
131,Horror
132,Action
132,Adventure
132,Thriller
133,Drama
133,Fantasy
133,Horror
133,Thriller
134,Action
134,Adventure
134,Drama
134,Romance
135,Adventure
135,Animation
135,Comedy
135,Family
136,Action
136,Adventure
136,Animation
136,Comedy
136,Family
137,Action
137,Adventure
137,Family
137,Fantasy
138,Action
138,Adventure
138,Thriller
139,Action
139,Drama
139,Thriller
140,Action
140,Adventure
140,Animation
140,Comedy
140,Family
140,Sci-Fi
141,Adventure
141,Animation
141,Comedy
141,Family
142,Adventure
142,Family
142,Fantasy
143,Adventure
143,Animation
143,Comedy
143,Family
143,Sci-Fi
144,Adventure
145,Adventure
145,Animation
145,Comedy
145,Family
146,Action
146,Adventure
146,Thriller
147,Action
147,Comedy
147,Fantasy
147,Sci-Fi
148,Action
148,Adventure
148,Sci-Fi
148,Thriller
149,Action
149,Adventure
149,Comedy
149,Family
149,Fantasy
149,Mystery
149,Sci-Fi
150,Action
150,Adventure
150,Animation
150,Fantasy
151,Action
151,Adventure
151,Animation
151,Comedy
151,Family
152,Action
152,Adventure
152,Thriller
153,Adventure
153,Animation
153,Family
153,Fantasy
154,Comedy
154,Crime
155,Action
155,Drama
155,History
155,War
156,Action
156,Adventure
156,Drama
157,Action
157,Adventure
157,Sci-Fi
158,Action
158,Adventure
158,Fantasy
158,Romance
159,Action
159,Adventure
159,Animation
159,Comedy
159,Family
159,Fantasy
160,Action
160,Adventure
160,Fantasy
161,Action
161,Adventure
161,Sci-Fi
161,Thriller
162,Action
162,Drama
162,Mystery
162,Sci-Fi
163,Action
163,Crime
163,Thriller
164,Action
164,Sci-Fi
165,Action
165,Adventure
165,Sci-Fi
165,Thriller
166,Action
166,Adventure
166,Comedy
166,Thriller
167,Action
167,Adventure
167,Animation
167,Fantasy
167,Romance
167,Sci-Fi
168,Action
168,Adventure
168,Sci-Fi
169,Action
169,Adventure
169,Thriller
170,Action
170,Adventure
170,Drama
170,History
170,War
171,Adventure
171,Drama
171,Fantasy
171,Romance
172,Animation
172,Comedy
172,Family
172,Musical
173,Action
173,Adventure
173,Sci-Fi
174,Adventure
174,Family
174,Fantasy
175,Adventure
175,Drama
175,Thriller
175,Western
176,Adventure
176,Animation
176,Comedy
176,Family
176,Sport
177,Adventure
177,Animation
177,Comedy
177,Family
177,Western
178,Adventure
178,Animation
178,Comedy
178,Family
179,Action
179,Mystery
179,Thriller
180,Action
180,Adventure
180,Animation
180,Comedy
180,Family
181,Action
181,Adventure
181,Comedy
181,Sci-Fi
182,Adventure
182,Sci-Fi
182,Thriller
183,Adventure
183,Drama
183,Fantasy
183,Romance
184,Adventure
184,Animation
184,Comedy
184,Family
184,Fantasy
184,Sci-Fi
185,Adventure
185,Sci-Fi
185,Thriller
186,Action
186,Comedy
186,Crime
186,Thriller
187,Action
187,Adventure
187,Animation
187,Comedy
187,Family
187,Fantasy
188,Action
188,Crime
188,Mystery
188,Thriller
189,Action
189,Adventure
189,Drama
190,Action
190,Adventure
190,Family
190,Mystery
191,Adventure
191,Family
191,Fantasy
191,Mystery
192,Adventure
192,Drama
192,Romance
192,War
193,Action
193,Adventure
193,Sci-Fi
194,Adventure
194,Animation
194,Family
194,Thriller
195,Adventure
195,Comedy
195,Family
195,Fantasy
196,Action
196,Animation
196,Comedy
196,Family
196,Sci-Fi
197,Adventure
197,Family
197,Fantasy
198,Action
198,Comedy
198,Fantasy
199,Action
199,Adventure
199,Fantasy
200,Adventure
200,Sci-Fi
200,Thriller
201,Mystery
201,Thriller
202,Adventure
202,Animation
202,Comedy
202,Family
202,Musical
203,Action
203,Adventure
203,Fantasy
203,Sci-Fi
203,Thriller
204,Action
204,Crime
204,Thriller
205,Action
205,Adventure
205,Crime
205,Mystery
205,Thriller
206,Action
206,Adventure
206,Fantasy
207,Action
207,Sci-Fi
208,Action
208,Adventure
208,History
209,Action
209,Adventure
209,Thriller
210,Action
211,Comedy
211,Family
211,Fantasy
212,Action
212,Adventure
212,Sci-Fi
212,Thriller
213,Action
213,Adventure
213,Thriller
214,Action
214,Adventure
214,Drama
214,Thriller
215,Action
215,Adventure
215,Sci-Fi
215,Thriller
216,Adventure
216,Drama
216,Fantasy
217,Action
